"DATAFLOW","LAST UPDATE","freq","unit","na_item","geo","TIME_PERIOD","OBS_VALUE","OBS_FLAG"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"France","2014","31320",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"France","2015","31540",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"France","2016","31770",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"France","2017","32360",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"France","2018","32820",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"France","2019","33320","p"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2004","9870",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2005","10290",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2006","10800",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2007","11330",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2008","11550",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2009","10720",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2010","10610",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2011","10630",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2012","10420",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2013","10420",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2014","10430",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2015","10770",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2016","11240",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2017","11750",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2018","12200",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Croatia","2019","12700",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2004","9530",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2005","9950",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2006","10360",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2007","10410",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2008","10530",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2009","9850",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2010","9980",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2011","10200",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2012","10120",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2013","10330",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2014","10800",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2015","11220",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2016","11500",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2017","12030",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2018","12690",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Hungary","2019","13270",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2004","38170",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2005","39460",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2006","40360",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2007","41240",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2008","38550",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2009","36240",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2010","36700",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2011","36940",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2012","36770",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2013","37060",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2014","40010",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2015","49620",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2016","50060",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2017","53930",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2018","58100",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Ireland","2019","60130",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2004","31620",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2005","33190",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2006","34310",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2007","36360",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2008","36230",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2009","33480",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2010","32650",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2011","33150",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2012","33330",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2013","34510",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2014","34710",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2015","35870",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2016","37610",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2017","38280",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2018","39090",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Iceland","2019","39160",""
